gene_id	OTA	MCPD	TCP	Ctrl
ENSRNOG00000052945	229.028682337631	372.432472248382	247.482117374424	382.707746832306
ENSRNOG00000008569	318.223356404488	299.694301422752	295.961212415562	314.916180133788
ENSRNOG00000007949	141.244301902307	424.537203301459	96.8053715581071	565.508475675265
ENSRNOG00000013520	101.899061743524	356.051387236276	383.394082962413	385.305537437507
ENSRNOG00000003626	410.819832118744	305.238493695194	183.238061233344	327.122093337676
ENSRNOG00000001980	99.2432948965942	186.992062365629	830.467383345054	106.696469371617
ENSRNOG00000012457	295.425385435989	325.438796485512	314.140547507664	287.826494205565
ENSRNOG00000005223	100.419538470917	374.679780478235	221.868512530825	522.694205531956
ENSRNOG00000004214	285.7591288959	231.295512513701	382.644186693159	319.048243221438
ENSRNOG00000029549	265.004992368022	323.618600604649	262.254130177727	367.540158810839
ENSRNOG00000046630	195.104400755313	244.370616540228	566.951045887153	211.373590359593
ENSRNOG00000018584	367.478222809456	292.654547869256	215.22735835955	327.582142633443
ENSRNOG00000036689	276.035882841419	265.533422358673	337.072030806031	323.185076543451
ENSRNOG00000022980	321.274425813039	289.754052555458	276.720341444057	307.309934530221
ENSRNOG00000002721	374.699646726827	317.468311358163	143.95210407806	347.911047189031
ENSRNOG00000016253	92.6423127673888	347.583884049899	378.757575387456	362.778076985685
ENSRNOG00000061237	181.376759206779	339.349388984754	305.971420950195	354.468195641897
ENSRNOG00000007967	287.197583550416	307.508564760064	291.230798121998	288.060672040033
ENSRNOG00000040120	215.640704994441	355.639517854428	242.306405752344	356.604375974792
ENSRNOG00000017133	201.260902283024	313.06828637814	316.961659920955	335.879633720758
ENSRNOG00000010830	355.600962686083	231.647636308809	328.248924147247	250.645088347808
ENSRNOG00000000304	151.031244630807	248.621063683494	454.773928134341	308.614847329877
ENSRNOG00000004245	316.60970511105	344.418418115336	180.891242213804	320.531849614639
ENSRNOG00000014743	245.507350558806	379.388304162618	166.305429200367	362.216783662361
ENSRNOG00000043866	262.522037570575	168.427648527314	441.137756245789	280.015230818286
ENSRNOG00000014214	391.398598698704	243.083471020306	178.067797257632	333.61525143214
ENSRNOG00000010887	204.319576636811	329.744953826414	226.650984547394	384.943384800589
