"","Ctrl","OTA","MCPD","TCP"
"ENSRNOG00000054140",8.88463471682043,9.34717497333715,8.76158307259245,7.35777955032637
"ENSRNOG00000019118",8.27461019011599,9.20782459804852,8.98701138283016,8.23561919550751
"ENSRNOG00000023150",8.589899144549,9.09873937636969,8.65872134963939,8.41638074393017
"ENSRNOG00000043451",7.36278233798188,9.98535797110784,8.11220145123501,8.15600133133756
"ENSRNOG00000005290",8.56738464338837,8.87685163980256,8.43675369306998,8.81103967148991
"ENSRNOG00000013223",8.81294013401521,8.38433777673063,8.83817058048465,8.58538245278035
"ENSRNOG00000038361",9.34729043229473,7.73403059038188,9.40241746208614,6.34834392480015
"ENSRNOG00000007829",8.8106258486002,7.88188124009202,8.68073479163755,8.99073987375921
"ENSRNOG00000016468",9.12939989080687,7.77767182925798,9.05908953781563,8.20598448217683
"ENSRNOG00000012550",8.60610813566783,9.13116400495458,8.68159867114859,8.17016221978884
"ENSRNOG00000017416",9.1319273534878,8.10890766797688,8.8964278776292,8.19206571387302
"ENSRNOG00000050519",8.52178804381019,8.73507458578923,8.53862129775789,8.81844020340708
